Date,Open,High,Low,Close,Volume
03-23,24.032,24.32,23.84,24.224,68350800
03-24,25.3779994,25.48,25.309999,25.4459998,61105300
03-27,24.6399994,24.91,24.459999,24.8199998,37261000
03-28,24.576,27.84,22.4,26.752,75744700
03-29,24.4279998,24.620001,24.299999,24.5560006,60443500
03-30,25.438,26.59,24.67,26.206,82289900
03-31,27.012,27.18,26.9,27.124,92228400
04-03,22.758,23.49,22.27,23.246,54001400
04-04,23.8739996,24.059999,23.75,23.9979992,57749100
04-05,23.450001,24.200001,22.950001,23.950001,86998800
04-06,27.7560002,27.959999,27.620001,27.8919994,64188900
04-07,22.8880004,23.200001,22.68,23.0960008,61307800
04-10,25.914001,27.360001,24.950001,26.878001,79020000
04-11,22.6900002,23.049999,22.450001,22.9299994,167984400
04-12,23.6140004,24.040001,23.33,23.8980008,79189200
04-13,23.95,24.49,23.59,24.31,90548300
04-17,29.3580004,30.030001,28.91,29.8060008,58129700
04-18,27.18,27.84,26.74,27.62,119728400
04-19,24.8899994,27.02,23.469999,26.3099998,60461200
04-20,22.9519996,24.139999,22.16,23.7439992,57864000
04-21,25.8240002,29.639999,23.280001,28.3679994,54590200
04-24,26.6600006,26.84,26.540001,26.7800002,37155000
04-25,24.0840002,24.299999,23.940001,24.2279994,55774800
04-26,22.5299996,22.799999,22.35,22.7099992,86826400
04-27,23.9900006,24.17,23.870001,24.1100002,51590300
04-28,24.2799998,25.360001,23.559999,25.0000006,81271200
05-01,23.738,25.1,22.83,24.646,64053700
05-02,23.1939996,23.379999,23.07,23.3179992,95448600
05-03,24.124,25.66,23.1,25.148,124366000
05-04,25.1260002,25.389999,24.950001,25.3019994,54632800
05-05,24.066,24.42,23.83,24.302,87287500
05-08,24.917999,24.959999,24.889999,24.945999,114662700
05-09,25.0400006,27.68,23.280001,26.8000002,64991400
05-10,22.8859994,23,22.809999,22.9619998,99658500
05-11,25.782001,26.040001,25.610001,25.954001,68974100
05-12,23.664,23.67,23.66,23.668,68047300
05-15,25.112001,28.370001,22.940001,27.284001,83128200
05-16,23.228001,23.780001,22.860001,23.596001,87982900
05-17,25.744,26.35,25.34,26.148,70548600
05-18,24.5539996,25.129999,24.17,24.9379992,56886200
05-19,23.9519994,24.18,23.799999,24.1039998,88257800
05-22,22.206,22.41,22.07,22.342,92385600
05-23,22.9059998,23.200001,22.709999,23.1020006,86154700
05-24,23.8540004,24.040001,23.73,23.9780008,129859400
05-25,26.714,26.9,26.59,26.838,92625400
05-26,23.3700004,24.030001,22.93,23.8100008,62902100
05-30,26.9080002,28.719999,25.700001,28.1159994,89566700
05-31,24.776,26.57,23.58,25.972,99765000
06-01,23.272,23.68,23,23.544,68708700
06-02,23.114,23.9,22.59,23.638,127235400
06-05,27.984,28.08,27.92,28.048,57745800
06-06,25.032,25.35,24.82,25.244,56016500
06-07,25.9780006,28.9,24.030001,27.9260002,39825500
06-08,24.5260004,27.700001,22.41,26.6420008,75990800
06-09,23.9379996,24.219999,23.75,24.1259992,46527700
06-12,26.7280004,29.440001,24.92,28.5360008,119513500
06-13,24.182,25.34,23.41,24.954,102264500
06-14,25.3639996,25.639999,25.18,25.5479992,85829900
06-15,23.8860004,24.690001,23.35,24.4220008,84465400
06-16,25.4739994,26.74,24.629999,26.3179998,54565200
06-19,26.726,29.66,24.77,28.682,75244400
06-20,23.0760004,23.940001,22.5,23.6520008,108444100
06-21,22.8880004,23.110001,22.74,23.0360008,70051000
06-22,24.9540002,25.709999,24.450001,25.4579994,46133800
06-23,23.6619998,23.950001,23.469999,23.8540006,56233900
06-26,23.4140004,23.540001,23.33,23.4980008,60262600
06-27,29.74,29.98,29.58,29.9,35111800
06-28,23.678001,25.280001,22.610001,24.746001,56218100
06-29,23.77,24.07,23.57,23.97,59228600
06-30,23.49,24,23.15,23.83,97453300
07-03,28.7299996,28.969999,28.57,28.8899992,74593800
07-05,24.616,26.92,23.08,26.152,88076600
07-06,24.162,24.9,23.67,24.654,41860900
07-07,22.32,22.65,22.1,22.54,151233300
07-10,23.682001,24.030001,23.450001,23.914001,95761700
07-11,23.470001,23.620001,23.370001,23.570001,122131900
07-12,25.4040006,28.83,23.120001,27.6880002,79980600
07-13,22.8319998,23.120001,22.639999,23.0240006,98274900
07-14,25.328,29.09,22.82,27.836,74839400
07-17,24.730001,27.280001,23.030001,26.430001,69607700
07-18,23.159999,23.459999,22.959999,23.359999,46328800
07-19,25.171999,28.969999,22.639999,27.703999,102634200
07-20,22.556,22.76,22.42,22.692,78969300
07-21,24.822,25.08,24.65,24.994,66232600
07-24,24.4199994,24.6,24.299999,24.5399998,76017200
07-25,23.2500004,25.110001,22.01,24.4900008,152156200
07-26,25.0320006,25.65,24.620001,25.4440002,76172500
07-27,24.938,27.98,22.91,26.966,55902200
07-28,22.804,23.5,22.34,23.268,88061800
07-31,27.278,28.85,26.23,28.326,78571500
08-01,22.9720004,24.190001,22.16,23.7840008,58856700
08-02,29.6639996,29.879999,29.52,29.8079992,90346500
08-03,24.2639998,25.950001,23.139999,25.3880006,70124800
08-04,23.1360004,23.700001,22.76,23.5120008,113499100
08-07,28.204,29.5,27.34,29.068,50311200
08-08,29.652,29.73,29.6,29.704,62272000
08-09,24.3159994,24.85,23.959999,24.6719998,145661700
08-10,25.3020004,25.620001,25.09,25.5140008,104196900
08-11,22.854001,22.950001,22.790001,22.918001,103802600
08-14,23.4159998,24.700001,22.559999,24.2720006,75660400
08-15,23.858,23.9,23.83,23.886,62793500
08-16,22.96,23.17,22.82,23.1,259545800
08-17,23.606,23.75,23.51,23.702,43511900
08-18,26.452,29.5,24.42,28.484,48644400
08-21,25.482,27.09,24.41,26.554,59692000
08-22,23.0420002,23.299999,22.870001,23.2139994,53402800
08-23,24.6280006,24.91,24.440001,24.8160002,39178700
08-24,26.2380006,26.43,26.110001,26.3660002,90242000
08-25,27.5279998,29.370001,26.299999,28.7560006,67984100
08-28,25.4400002,25.799999,25.200001,25.6799994,91561200
08-29,24.3780006,24.66,24.190001,24.5660002,85053200
08-30,25.6539994,29.17,23.309999,27.9979998,68133400
08-31,24.4940004,24.620001,24.41,24.5780008,108254300
09-01,23.6700004,24.450001,23.15,24.1900008,45143200
09-05,22.7199994,23.35,22.299999,23.1399998,69725100
09-06,23.756,23.99,23.6,23.912,108605400
09-07,25.2079996,29.299999,22.48,27.9359992,98508700
09-08,23.3200004,23.530001,23.18,23.4600008,119049300
09-11,24.1219996,25.549999,23.17,25.0739992,50399500
09-12,23.936,24.83,23.34,24.532,107981400
09-13,23.682,23.73,23.65,23.714,51382700
09-14,22.8160004,23.290001,22.5,23.1320008,91044300
09-15,25.7440006,25.93,25.620001,25.8680002,60991300
09-18,23.6840004,24.200001,23.34,24.0280008,84146400
09-19,22.711999,23.209999,22.379999,23.043999,146488400
09-20,22.8939996,23.139999,22.73,23.0579992,101771800
09-21,28.916,29.18,28.74,29.092,86339800
09-22,23.6679994,23.98,23.459999,23.8759998,80024200
09-25,24.336001,24.540001,24.200001,24.472001,98144500
09-26,27.5799994,27.76,27.459999,27.6999998,78984600
09-27,24.3579994,24.58,24.209999,24.5059998,91349800
09-28,23.25,24.99,22.09,24.41,138636300
09-29,23.884001,24.040001,23.780001,23.988001,55946900
10-02,24.1259996,26.549999,22.51,25.7419992,88679100
10-03,22.5800006,23.15,22.200001,22.9600002,99298100
10-04,23.68,24.58,23.08,24.28,73741000
10-05,24.3900004,25.950001,23.35,25.4300008,72382900
10-06,24.3740006,24.77,24.110001,24.6380002,37914900
10-09,23.8740006,24.51,23.450001,24.2980002,85846000
10-10,24.78,25.08,24.58,24.98,105222400
10-11,23.4280006,23.77,23.200001,23.6560002,102352400
10-12,25.8160006,27.73,24.540001,27.0920002,81531900
10-13,26.2759994,26.48,26.139999,26.4119998,63254700
10-16,23.3880002,23.549999,23.280001,23.4959994,64272800
10-17,23.8579996,24.049999,23.73,23.9859992,67204500
10-18,24.6880004,27.940001,22.52,26.8560008,102564900
10-19,23.3639994,23.58,23.219999,23.5079998,105342500
10-20,27.904,28.51,27.5,28.308,71770000
10-23,29.0159996,29.309999,28.82,29.2119992,61446000
10-24,23.666,24.17,23.33,24.002,56678800
10-25,27.6000002,28.709999,26.860001,28.3399994,65922500
10-26,22.5620006,22.73,22.450001,22.6740002,97074400
10-27,23.0719994,23.24,22.959999,23.1839998,77158300
10-30,23.38,24.58,22.58,24.18,94206700
10-31,26.37,29.58,24.23,28.51,42371200
11-01,23.0980004,23.860001,22.59,23.6060008,95172200
11-02,24.6280004,26.440001,23.42,25.8360008,48420700
11-03,24.432,24.6,24.32,24.544,71735600
11-06,27.086,28.49,26.15,28.022,54542700
11-07,22.7360006,22.91,22.620001,22.8520002,111666800
11-08,25.188,25.35,25.08,25.296,66281500
11-09,25.198,26.74,24.17,26.226,54361600
11-10,22.8599994,23.07,22.719999,22.9999998,51357600
11-13,23.87,25.07,23.07,24.67,72432800
11-14,26.2579994,26.93,25.809999,26.7059998,61385600
11-15,23.7900002,24.059999,23.610001,23.9699994,62361700
11-16,23.8999994,23.93,23.879999,23.9199998,81522000
11-17,25.99,26.08,25.93,26.05,61596800
11-20,27.7000006,27.82,27.620001,27.7800002,55533400
11-21,24.2659996,24.799999,23.91,24.6219992,131531100
11-22,23.3939994,23.67,23.209999,23.5779998,68076400
11-24,24.7719994,25.24,24.459999,25.0839998,56910400
11-27,25.4720006,26,25.120001,25.8240002,66429700
11-28,22.8439996,23.209999,22.6,23.0879992,65704700
11-29,24.1159994,24.35,23.959999,24.2719998,50143400
11-30,26.43,29.82,24.17,28.69,84005200
12-01,23.4799996,23.719999,23.32,23.6399992,53900600
12-04,24.092,26.33,22.6,25.584,76875100
12-05,23.5060006,24.85,22.610001,24.4020002,76556300
12-06,25.1659994,25.34,25.049999,25.2819998,51652300
12-07,23.2940004,24.110001,22.75,23.8380008,103501200
12-08,24.578,26.33,23.41,25.746,55382500
12-11,22.5139998,22.700001,22.389999,22.6380006,50688800
12-12,24.152,24.35,24.02,24.284,38103200
12-13,23.7419996,23.969999,23.59,23.8939992,14273600
12-14,23.7799996,23.959999,23.66,23.8999992,60615800
12-15,29.6060006,29.84,29.450001,29.7620002,58412900
12-18,24.79,25,24.65,24.93,138638900
12-19,25.0399994,27.77,23.219999,26.8599998,58823200
12-20,24.7680006,24.99,24.620001,24.9160002,63182700
12-21,27.1659994,27.34,27.049999,27.2819998,81265300
12-22,25.1500004,25.870001,24.67,25.6300008,71927200
12-26,25.762,25.93,25.65,25.874,120474200
12-27,25.462,27.43,24.15,26.774,85937600
12-28,25.4399994,25.77,25.219999,25.6599998,59693500
12-29,24.7099996,25.639999,24.09,25.3299992,78023700
